BILL OF MATERIAL DETAIL - THỐNG KÊ DIỄN GIẢI KHỐI LƯỢNG,,,,,,,,,,,,,,,,,,,,,
    ,PROJECT CODE  - MÃ DỰ ÁN:        ,,BG-1....25,,,,,,,,,,,,,,,,,,
    ,CONTRACTOR - BÊN GIAO THẦU :              ,,CONG TY TNHH MDA E&C,,,,,,,,,,,,,,,,,,
    ,PROJECT NAME - TÊN DỰ ÁN :        ,,NHA MAY SAN XUAT INTERFLEX & KOREA CIRCUIT VINA,,,,,,,,,,,,,,,,,,
    ,ITEM NAME -TÊN HẠNG MỤC:           ,,NHA XE ,,,,,,,,,,,,,,,,,,
    ,SUBCONTRACTOR - NHÀ THẦU :       ,,MINH CUONG STEEL,,,,,,,,,,,,,,,,,,
    ,LOCATION - ĐỊA ĐIỂM:,,XA VINH TUONG - T.PHU THO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NO,Dự án_ID (Project_ID),Cấu kiện (Assembly_ID),Tên ck (Ass name),Tên chi tiết (Part name),Tiết diện (Profile),Vật liệu (Material),Dày (Thick) (mm),Rộng (Width) (mm),Dài (Length) (mm),SL/1CK (Qty/Ass),SL tổng (QtyTotal),KL CT (Weight 1 Part) (kg),KL/1CK tổ hợp (Weight 1 combination Ass) (kg),KL tổ hợp (Weight combination Total) (kg),KL/1CK (Weight 1 Ass) (kg),KL tổng (Weight Total) (kg),Area 1 Ass -(m2),Area Total (m2),welding machine (mh),hand welding (mh),Note
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-R.1             ,                ,R.1             ,PLT6*100,Q355    ,6,100,100,2,2,0.31,,,0.62,0.62,0.02,0.03,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-R.3             ,                ,R.3             ,PLT6*50,Q355    ,6,50,200,11,11,0.24,,,2.64,2.64,0.01,0.14,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-RP.1            ,                ,RP.1            ,PLT6*68,Q345    ,6,68,68,16,16,0.12,,,1.92,1.92,0.01,0.1,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-S.1             ,                ,S.1             ,PLT6*96,Q355    ,6,96,280,6,6,1.25,,,7.52,7.52,0.06,0.35,,5203.2,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-S.4             ,                ,S.4             ,PLT6*96,Q355    ,6,96,276,2,2,1.23,,,2.46,2.46,0.06,0.11,,1718.4,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-SP.1            ,                ,SP.1            ,PLT6*97,Q355    ,6,97,130,14,14,0.58,,,8.12,8.12,0.03,0.38,,7985.6,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-SP.2            ,                ,SP.2            ,PLT6*97,Q355    ,6,97,280,8,8,1.26,,,10.08,10.08,0.06,0.46,,6963.2,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-W.23            ,                ,W.23            ,PLT6*300.7,Q355    ,6,300,12865,1,1,169.33,169.33,169.33,169.33,169.33,7.35,7.35,51460,,
18,BG-1.....25 - NXE,BG-1.....25 - NXE-SB.1.1          ,BEAM            ,SB.1.1          ,H300*200*6*10,Q355    ,,          ,5379,       ,141,             ,239.89,33824.49,239.89,33824.49,5.34,1072.72,,0,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-F.50            ,                ,F.50            ,PLT10*200,Q355    ,10,200,5379,2,282,84.47,168.94,23820.54,168.94,23820.54,2.26,638.34,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-W.30            ,                ,W.30            ,PLT6*280,Q355    ,6,280,5379,1,141,70.95,70.95,10003.95,70.95,10003.95,3.08,434.38,3033756,,
19,BG-1.....25 - NXE,BG-1.....25 - NXE-SB.1.2          ,BEAM            ,SB.1.2          ,H300*200*6*10,Q355    ,,          ,5468,       ,14,             ,242.02,3388.28,242.02,3388.28,5.39,107.46,,0,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-F.64            ,                ,F.64            ,PLT10*200,Q355    ,10,200,5429,2,28,85.22,170.44,2386.16,170.44,2386.16,2.28,63.95,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-W.42            ,                ,W.42            ,PLT6*280,Q355    ,6,280,5465,1,14,71.58,71.58,1002.12,71.58,1002.12,3.11,43.51,306040,,
20,BG-1.....25 - NXE,BG-1.....25 - NXE-SBT1.1          ,COT             ,SBT1.1          ,H200X200X8X12,Q355    ,,          ,8730,       ,3,             ,563.99,1691.97,571.65,2063.64,9.74,53.68,,50656.8,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-BP.1            ,                ,BP.1            ,PLT16*240,Q355    ,16,240,240,1,3,7.23,,,7.23,21.69,0.13,0.39,,3744,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-F.21            ,                ,F.21            ,PLT12*200,Q355    ,12,200,8714,2,6,164.17,328.34,985.02,328.34,985.02,3.7,22.2,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-S.11            ,                ,S.11            ,PLT10*96,Q355    ,10,96,176,8,24,1.22,,,9.76,29.28,0.04,0.87,,15820.8,
